model,features,test_acc,test_f1,val_acc
LightGBM,14,0.3773841961852861,0.3365470997493493,
RandomForest,14,0.24432334241598547,0.22638182147331393,0.3692166743014201
HistGradientBoosting,14,0.3260672116257947,0.30398124433475116,0.3220338983050847
MLP,14,0.3033605812897366,0.283250456536514,0.3298213467704993
KNN,14,0.28792007266121705,0.25709443553900235,0.36097114063215757
SGDClassifier,14,0.30018165304268846,0.2650212755147488,0.37975263398992215
XGBoost,14,0.3542234332425068,0.32970488936628145,0.32249198350893266
