timestamp,pps,gbps,tcp,udp,icmp,syn,ack,rst,fin,frag
1762973899,0,0.00,0,0,0,0,0,0,0,0
1762973900,137159,0.16,124551,10512,2096,26997,110031,0,24954,0
1762973901,533066,0.63,484568,40408,8090,104990,428035,0,96914,0
1762973902,532511,0.63,484163,40320,8028,104874,427648,0,96718,0
1762973903,532862,0.63,484690,40422,7750,105012,428140,0,96924,0
1762973904,531108,0.62,482690,40326,8092,104579,426372,0,96521,0
1762973905,531763,0.62,483131,40350,8282,104719,426806,0,96787,0
1762973906,530837,0.62,482617,40174,8046,104523,426267,0,96346,0
1762973907,529994,0.62,481994,40156,7844,104466,425795,0,96534,0
1762973908,528017,0.62,480135,39622,8260,104019,424110,0,95988,0
1762973909,364683,0.43,331461,27710,5512,71821,292796,0,66314,0
1762973910,1,0.00,0,0,0,0,0,0,0,0
1762973911,0,0.00,0,0,0,0,0,0,0,0
1762973912,0,0.00,0,0,0,0,0,0,0,0
1762973913,322595,0.38,293225,24468,4902,63542,259025,0,58684,0
1762973914,556024,0.65,505698,42020,8306,109546,446678,0,101052,0
1762973915,555066,0.65,504576,42090,8400,109293,445677,0,100788,0
1762973916,553838,0.65,503348,42240,8250,109077,444641,0,100738,0
1762973917,553721,0.65,502933,42266,8522,108995,444284,0,100692,0
1762973918,555478,0.65,505314,41688,8476,109460,446337,0,100968,0
1762973919,556135,0.65,505555,42232,8348,109559,446595,0,101196,0
1762973920,555018,0.65,504470,41922,8626,109313,445627,0,100942,0
1762973921,544125,0.64,494881,41074,8170,107215,437136,0,98940,0
1762973922,0,0.00,0,0,0,0,0,0,0,0
1762973923,0,0.00,0,0,0,0,0,0,0,0
1762973924,0,0.00,0,0,0,0,0,0,0,0
1762973925,168801,0.20,153389,12812,2600,33239,135498,0,30696,0
1762973926,548836,0.64,498830,41686,8320,108094,440647,0,99821,0
1762973927,548121,0.65,498493,41480,8148,107963,440290,0,99519,0
1762973928,545940,0.64,496490,41444,8006,107594,438588,0,99384,0
1762973929,545239,0.64,495299,41560,8380,107293,437493,0,98976,0
1762973930,545833,0.64,496089,41320,8424,107506,438233,0,99300,0
1762973931,546487,0.64,496995,41202,8290,107686,439015,0,99410,0
1762973932,546436,0.64,496894,41274,8268,107661,438924,0,99383,0
1762973933,547308,0.64,497618,41358,8332,107811,439555,0,99495,0
1762973934,208999,0.25,189903,15864,3232,41153,167757,0,38016,0
1762973935,1,0.00,0,0,0,0,0,0,0,0
1762973936,0,0.00,0,0,0,0,0,0,0,0
1762973937,17689,0.02,16048,1374,266,3467,14164,0,3166,0
1762973938,552216,0.65,501990,41834,8392,108793,443454,0,100513,0
1762973939,551904,0.65,501681,41834,8388,108655,443108,0,100163,0
1762973940,551302,0.65,501373,41946,7982,108630,442880,0,100276,0
1762973941,551995,0.65,501763,41834,8398,108714,443221,0,100342,0
1762973942,551554,0.65,501206,41798,8550,108643,442780,0,100434,0
1762973943,551365,0.65,501201,41774,8390,108544,442678,0,100042,0
1762973944,549684,0.64,499838,41684,8162,108331,441558,0,100103,0
1762973945,549061,0.65,499343,41201,8516,108169,441065,0,99783,0
1762973946,325234,0.38,295557,24721,4956,64054,261092,0,59178,0
1762973947,1,0.00,0,0,0,0,0,0,0,0
1762973948,0,0.00,0,0,0,0,0,0,0,0
1762973949,1,0.00,0,0,0,0,0,0,0,0
1762973950,0,0.00,0,0,0,0,0,0,0,0
1762973951,1,0.00,0,0,0,0,0,0,0,0
1762973952,0,0.00,0,0,0,0,0,0,0,0
1762973953,2,0.00,0,0,0,0,0,0,0,0
1762973954,0,0.00,0,0,0,0,0,0,0,0
1762973955,1,0.00,0,0,0,0,0,0,0,0
1762973956,0,0.00,0,0,0,0,0,0,0,0
1762973957,2,0.00,0,0,0,0,0,0,0,0
1762973958,0,0.00,0,0,0,0,0,0,0,0
