udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,active_attack_protocols,syn_http_ratio,syn_only_ratio,http_payload_ratio,dns_query_ratio,ntp_monlist_ratio,snmp_ratio,ssdp_ratio,icmp_ratio,http_request_ratio,portmap_ratio,netbios_ratio,ldap_ratio,mssql_ratio,tftp_ratio,ratio_vs_baseline,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,max_protocol_ratio,protocol_diversity,label
0.2221950394669621,0.4151523099706638,1.5897056063871529,105.7749936445038,0.0,0.0,0.0,0.0,0.0,6.323793718114205,3,5.852257531365036,0.3143424381701013,0.0537130221090562,0.071668206781617,0.0,0.0,0.0,0.0404217628330582,0.31563774882272,0.0,0.0,0.0,0.0,0.0,21.8,15.21,5,0.008,0.1818181818181818,0.2851861998034741,0.3143424381701013,4,syn
0.1429653510048432,0.2254454262857538,999.0,125.3621319438492,0.0,0.0,0.0,0.0,0.0,2.0000209289670856,3,1.7049638163170957,0.142102328712292,0.083346243100483,0.045933344709656,0.0,0.0,0.0,0.0364715994297159,0.4167076240497559,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.142102328712292,4,benign
0.6362931673755107,0.1591168783767035,1.61034468732204,109.72086779551448,0.0,1.8,0.0,8.859277328861108,0.0,2.000919112400025,3,1.720396396116746,0.1006420531901322,0.0584993396971186,0.323019987951572,0.0,0.0,0.0,0.02732913953614,0.2924703680853758,0.0,0.0,0.0,0.0,0.0,1.51,0.05,5,0.0069999999999999,0.1818181818181818,0.4438586631133162,0.323019987951572,4,dns
1.3538127916994318,0.1083226602230115,999.0,112.07073072898687,0.0,0.0,0.0,0.0,0.0,2.0019476905954368,3,1.8862021544808616,0.070798477697232,0.0375349362893278,0.2498282086273143,0.0,0.0,0.0,0.0569390272360569,0.1876058573599295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,0.2498282086273143,4,benign
0.1461780213984959,0.2252516069673849,999.0,125.33234886370036,0.0,0.0,0.0,0.0,0.0,1.9999513753820504,3,1.7488758413289418,0.1433173940528124,0.0819482953940903,0.0460927378217846,0.0,0.0,0.0,0.0375884849129702,0.4097203532511751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,0.1433173940528124,4,benign
0.1016679209738618,0.3055049583881917,1.5608115412307737,113.04438814335238,0.0,0.0,0.0,0.0,0.0,3.881680824451146,3,0.4847977635651402,0.0997076906352293,0.2056686274746645,0.034397081737912,0.0,0.0,0.0,0.0266249139378419,0.5846096703668362,0.0,0.0,0.0,0.0,0.0,1.48,0.13,5,0.008,0.1818181818181818,0.268213583241663,0.2056686274746645,4,webddos
0.6551648358003522,0.1375154438946964,2.564528214882702,118.15605217904114,0.0,0.0,0.0,0.0,0.0,1.9997755596243576,4,1.445457171746353,0.0812862642142723,0.0562356780976533,0.0750096054729669,0.0,0.0,0.1845396155698827,0.0416012424973742,0.2811824519990349,0.0,0.0,0.0,0.0,0.0,1.37,2.15,5,0.0069999999999999,0.1818181818181818,0.4400502377924933,0.1845396155698827,5,ssdp
2.020127019574391,0.0856372260784763,2.245625858516484,105.96381744062644,0.0,0.0,0.0,1.0562444741674413,0.0,2.000355931493656,4,1.8847988887546805,0.0559468577902707,0.0296831975676916,0.1976913865305186,0.0,0.2088113813675998,0.0,0.044789216670491,0.1484357073198715,0.0,0.0,0.0,0.0,0.0,1.38,0.14,5,0.008,0.1818181818181818,0.4331321637727708,0.2088113813675998,5,snmp
0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0,benign
0.2604179502511826,0.2086401251058839,999.0,122.65548714367824,0.0,0.0,0.0,0.0,0.0,1.9985095065535132,3,2.330533995653524,0.1460084084691548,0.0626501946512955,0.0754612939083821,0.0,0.0,0.0,0.0560788291551949,0.3132091545919325,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.1460084084691548,4,benign
0.7240383723714496,0.2557413772188751,1.8616912448518663,123.36348550402327,0.0,0.0,0.0,0.0,0.0,4.931724966080814,3,0.3483188225362201,0.0660660709231329,0.1896712627875945,0.1924806922485948,0.0,0.0,0.0,0.0464259431482754,0.4912983704662165,0.0,0.0,0.0,0.0,0.0,0.89,0.01,5,0.012,0.1818181818181818,0.267974678906092,0.1924806922485948,4,benign
0.3473556375912432,0.1833957243370016,999.0,123.88657879307236,0.0,0.0,0.0,0.0,0.0,1.9999508158422168,3,1.445500338320427,0.1083945967887425,0.0749875969691502,0.1001916832040411,0.0,0.0,0.0,0.0567720548439473,0.3749379848457514,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.1083945967887425,4,benign
